,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
3082,COASTAL ANDHRA PRADESH,1901,18.8,80.9,7.2,28.7,68.7,77.7,113.0,133.7,125.3,173.4,164.8,1.5,993.8,99.7,104.6,449.7,339.8
3083,COASTAL ANDHRA PRADESH,1902,2.0,0.0,2.8,23.9,37.6,72.6,144.5,236.1,204.5,262.0,50.4,27.1,1063.6,2.0,64.4,657.7,339.5
3084,COASTAL ANDHRA PRADESH,1903,0.8,13.3,0.2,6.2,73.4,154.0,248.6,258.0,216.5,159.1,173.9,12.1,1316.2,14.2,79.8,877.1,345.1
3085,COASTAL ANDHRA PRADESH,1904,1.3,0.0,5.4,3.0,136.3,107.8,120.2,117.7,116.8,240.9,0.0,10.7,860.2,1.3,144.7,462.6,251.6
3086,COASTAL ANDHRA PRADESH,1905,1.1,16.7,68.0,37.0,68.8,84.4,64.6,210.8,170.2,66.0,7.4,0.0,795.2,17.8,173.8,530.1,73.4
3087,COASTAL ANDHRA PRADESH,1906,3.9,23.5,9.9,2.3,11.0,252.6,155.8,241.1,126.9,92.1,21.5,80.8,1021.5,27.4,23.2,776.4,194.5
3088,COASTAL ANDHRA PRADESH,1907,0.6,3.0,38.9,80.9,18.9,224.5,119.7,118.2,94.7,37.0,52.4,29.1,817.9,3.6,138.7,557.2,118.4
3089,COASTAL ANDHRA PRADESH,1908,54.1,1.3,1.7,7.2,40.9,57.2,120.9,162.0,320.9,73.9,2.1,0.0,842.3,55.5,49.8,661.1,75.9
3090,COASTAL ANDHRA PRADESH,1909,1.3,1.3,0.2,112.2,34.0,109.7,154.2,193.1,169.8,13.4,3.1,75.2,867.6,2.6,146.5,626.8,91.7
3091,COASTAL ANDHRA PRADESH,1910,0.9,2.4,0.2,31.9,22.6,179.6,222.2,204.5,216.8,286.4,87.2,0.0,1254.6,3.3,54.7,823.0,373.6
3092,COASTAL ANDHRA PRADESH,1911,0.0,0.0,10.3,14.4,31.2,150.5,158.1,76.2,160.4,119.7,77.6,21.0,819.5,0.0,56.0,545.1,218.4
3093,COASTAL ANDHRA PRADESH,1912,0.0,9.6,4.8,15.2,33.6,55.9,217.9,230.1,188.7,86.1,61.7,0.0,903.6,9.6,53.6,692.5,147.9
3094,COASTAL ANDHRA PRADESH,1913,0.0,12.9,0.5,3.3,68.2,129.0,166.9,124.3,119.5,206.7,7.2,2.4,841.0,12.9,72.1,539.7,216.3
3095,COASTAL ANDHRA PRADESH,1914,0.0,10.9,5.8,73.0,77.7,171.7,157.4,178.5,292.4,22.8,17.8,5.1,1013.2,10.9,156.6,800.0,45.7
3096,COASTAL ANDHRA PRADESH,1915,21.1,17.9,53.3,44.8,63.5,177.3,134.8,226.5,170.5,228.8,208.8,0.0,1347.4,39.0,161.7,709.1,437.7
3097,COASTAL ANDHRA PRADESH,1916,0.2,5.1,0.5,16.3,43.9,157.9,282.1,197.1,166.2,355.9,126.0,0.1,1351.2,5.3,60.7,803.3,481.9
3098,COASTAL ANDHRA PRADESH,1917,1.1,25.1,14.9,16.4,105.5,201.4,142.4,215.8,219.6,216.0,126.5,5.0,1289.6,26.3,136.7,779.2,347.4
3099,COASTAL ANDHRA PRADESH,1918,25.1,2.5,9.5,13.0,79.6,109.4,107.4,130.9,149.6,30.8,111.7,8.5,778.0,27.6,102.0,497.4,151.0
3100,COASTAL ANDHRA PRADESH,1919,41.3,22.9,10.4,23.6,70.0,111.2,194.8,118.6,161.8,194.5,183.6,8.7,1141.4,64.2,104.0,586.4,386.8
3101,COASTAL ANDHRA PRADESH,1920,9.6,23.8,4.7,25.1,78.4,83.0,71.6,124.9,113.6,176.5,12.2,0.0,723.5,33.3,108.2,393.2,188.7
