,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
552,GANGETIC WEST BENGAL,1901,37.1,58.4,3.9,64.1,121.7,198.0,280.8,275.7,313.5,51.1,83.4,0.0,1487.6,95.5,189.7,1068.0,134.4
553,GANGETIC WEST BENGAL,1902,0.0,1.2,44.2,103.8,161.6,140.9,347.8,264.8,230.5,32.5,10.4,9.9,1347.7,1.2,309.6,984.0,52.9
554,GANGETIC WEST BENGAL,1903,17.5,24.6,37.3,30.6,78.5,201.7,179.6,277.6,300.7,198.0,8.2,0.0,1354.3,42.1,146.4,959.6,206.2
555,GANGETIC WEST BENGAL,1904,0.1,23.9,35.6,17.5,160.2,286.7,435.3,241.7,142.8,35.1,4.1,0.1,1383.1,24.0,213.3,1106.4,39.3
556,GANGETIC WEST BENGAL,1905,30.9,49.6,84.7,84.9,156.8,70.9,525.5,263.6,287.6,107.3,0.0,5.2,1666.9,80.5,326.3,1147.6,112.6
557,GANGETIC WEST BENGAL,1906,46.8,123.6,53.3,1.1,81.3,172.0,307.1,264.6,193.2,140.0,12.5,0.0,1395.6,170.4,135.7,936.9,152.6
558,GANGETIC WEST BENGAL,1907,0.7,24.2,94.9,39.7,92.3,347.6,217.5,249.9,232.3,13.3,0.0,24.7,1337.0,24.8,226.9,1047.3,38.0
559,GANGETIC WEST BENGAL,1908,27.0,5.1,1.9,5.2,109.9,380.4,383.5,290.4,174.9,21.3,0.2,0.0,1400.0,32.1,117.1,1229.2,21.5
560,GANGETIC WEST BENGAL,1909,5.6,6.4,0.6,145.2,97.2,335.0,232.4,504.3,273.0,75.3,1.3,21.4,1697.8,12.1,242.9,1344.8,98.0
561,GANGETIC WEST BENGAL,1910,23.0,10.8,9.4,48.4,101.7,241.8,319.4,250.9,209.6,170.7,0.2,0.0,1385.9,33.8,159.4,1021.8,170.9
562,GANGETIC WEST BENGAL,1911,1.2,2.9,42.8,35.3,110.4,276.6,168.4,261.5,260.2,93.3,12.3,0.0,1264.9,4.1,188.5,966.7,105.5
563,GANGETIC WEST BENGAL,1912,1.8,23.6,71.6,48.9,109.3,199.4,325.3,255.0,134.3,99.5,78.7,0.0,1347.4,25.3,229.8,914.0,178.2
564,GANGETIC WEST BENGAL,1913,4.1,110.7,35.1,12.8,157.0,512.0,367.7,290.3,186.2,122.6,18.5,9.8,1826.8,114.8,204.9,1356.3,150.9
565,GANGETIC WEST BENGAL,1914,0.0,31.0,21.8,56.4,230.9,192.8,400.8,218.8,186.4,28.5,0.0,16.4,1383.9,31.0,309.2,998.8,44.9
566,GANGETIC WEST BENGAL,1915,6.1,9.1,79.5,26.5,122.5,224.5,228.5,236.7,229.3,88.3,59.0,0.3,1310.3,15.1,228.5,919.0,147.6
567,GANGETIC WEST BENGAL,1916,0.6,2.1,0.5,58.3,42.3,378.5,148.9,320.5,283.8,286.7,78.2,0.1,1600.5,2.7,101.2,1131.6,365.0
