,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1357,HARYANA DELHI & CHANDIGARH,1901,35.4,28.9,11.1,0.0,5.1,13.2,126.4,151.5,10.5,2.0,0.0,6.1,390.1,64.3,16.2,301.6,8.1
1358,HARYANA DELHI & CHANDIGARH,1902,0.0,0.7,2.9,10.2,15.8,74.6,149.3,97.1,59.8,9.3,0.0,0.0,419.8,0.7,28.9,380.9,9.3
1359,HARYANA DELHI & CHANDIGARH,1903,14.7,0.5,2.3,0.5,8.5,8.6,151.6,138.2,97.7,4.0,0.0,2.3,428.9,15.2,11.3,396.1,6.2
1360,HARYANA DELHI & CHANDIGARH,1904,7.6,0.7,48.0,0.5,29.3,34.3,109.7,162.9,102.3,1.5,10.4,20.3,527.8,8.3,77.8,409.3,32.3
1361,HARYANA DELHI & CHANDIGARH,1905,44.8,20.8,14.0,1.3,7.4,20.1,93.6,23.1,92.6,0.0,0.0,5.1,322.9,65.7,22.7,229.4,5.1
1362,HARYANA DELHI & CHANDIGARH,1906,3.6,64.1,31.4,0.1,1.4,70.2,128.9,103.8,185.2,0.0,0.0,5.0,593.6,67.7,32.9,488.0,5.0
1363,HARYANA DELHI & CHANDIGARH,1907,14.3,42.8,25.9,33.5,7.8,20.0,123.2,175.3,1.0,0.1,0.0,0.0,443.9,57.1,67.2,319.5,0.1
1364,HARYANA DELHI & CHANDIGARH,1908,31.4,6.1,0.1,7.6,22.4,14.5,196.6,398.2,10.1,0.3,1.1,0.6,689.0,37.5,30.1,619.5,2.0
1365,HARYANA DELHI & CHANDIGARH,1909,5.9,13.1,0.0,78.1,2.8,123.7,228.7,118.9,162.4,3.1,0.0,32.7,769.3,19.0,80.9,633.7,35.8
1366,HARYANA DELHI & CHANDIGARH,1910,19.7,5.1,0.1,2.1,3.1,69.0,107.9,150.4,159.7,87.3,0.0,0.8,605.2,24.8,5.3,487.0,88.1
1367,HARYANA DELHI & CHANDIGARH,1911,66.5,1.3,53.3,0.7,0.1,53.1,26.3,49.3,208.7,10.7,39.7,0.0,509.7,67.8,54.1,337.4,50.4
1368,HARYANA DELHI & CHANDIGARH,1912,43.4,12.5,9.0,9.2,2.8,26.5,161.1,134.2,119.5,0.0,10.5,0.5,529.3,55.9,21.0,441.4,11.0
1369,HARYANA DELHI & CHANDIGARH,1913,1.1,42.9,22.4,1.9,69.7,111.8,142.9,82.3,22.6,0.7,0.9,9.3,508.4,43.9,94.0,359.6,10.9
1370,HARYANA DELHI & CHANDIGARH,1914,2.3,7.0,4.7,22.7,21.0,51.1,252.0,100.0,182.9,18.7,2.0,0.3,664.7,9.3,48.4,586.0,21.0
