,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
782,JHARKHAND,1901,92.7,66.6,11.1,18.4,33.5,70.9,269.4,415.1,248.0,37.3,11.5,0.0,1274.5,159.3,63.0,1003.4,48.8
783,JHARKHAND,1902,4.2,7.7,13.2,28.5,59.8,89.9,456.1,204.9,306.6,17.6,5.9,3.2,1197.6,11.9,101.5,1057.5,26.7
784,JHARKHAND,1903,25.1,19.5,10.7,32.8,56.4,142.1,206.1,280.8,190.2,210.1,0.5,0.0,1174.3,44.6,99.9,819.3,210.6
785,JHARKHAND,1904,2.5,17.0,38.1,9.1,116.1,308.9,494.1,336.1,125.6,30.6,2.3,0.4,1480.7,19.6,163.3,1264.6,33.3
786,JHARKHAND,1905,38.4,53.3,61.6,32.9,66.2,41.5,420.3,293.7,322.8,21.3,0.0,2.7,1354.7,91.7,160.7,1078.3,24.0
787,JHARKHAND,1906,45.8,128.5,35.9,1.7,33.9,170.9,355.6,251.6,185.4,96.8,7.1,1.1,1314.3,174.3,71.5,963.5,105.0
788,JHARKHAND,1907,2.0,59.3,76.0,26.3,27.4,338.1,230.4,469.4,200.2,1.7,0.0,24.8,1455.7,61.4,129.7,1238.1,26.5
789,JHARKHAND,1908,12.2,46.4,4.8,0.6,48.6,210.1,326.2,368.0,171.6,25.5,0.1,0.1,1214.2,58.7,54.0,1075.9,25.6
790,JHARKHAND,1909,32.2,10.1,0.9,78.8,27.2,314.0,319.9,360.3,267.8,23.4,0.0,13.3,1447.9,42.3,106.9,1262.0,36.7
791,JHARKHAND,1910,20.7,9.0,2.4,24.4,43.7,255.5,268.6,334.5,244.7,84.2,9.4,0.3,1297.6,29.7,70.5,1103.3,94.0
792,JHARKHAND,1911,0.7,0.2,31.5,7.7,25.5,391.6,164.2,410.3,303.5,100.5,39.7,0.0,1475.4,0.9,64.7,1269.6,140.2
793,JHARKHAND,1912,1.7,25.1,15.2,29.7,42.4,125.2,361.7,347.6,108.7,34.3,51.2,0.0,1142.9,26.9,87.4,943.2,85.5
794,JHARKHAND,1913,1.9,111.6,40.1,1.0,77.9,375.5,321.3,383.8,164.3,73.8,18.3,16.3,1585.6,113.5,118.9,1244.8,108.4
795,JHARKHAND,1914,0.1,24.6,19.4,23.6,150.1,123.8,354.4,337.0,159.5,16.7,0.0,6.2,1215.5,24.8,193.1,974.7,23.0
796,JHARKHAND,1915,7.7,36.7,33.4,10.7,58.6,149.7,270.2,220.5,214.7,60.0,39.9,0.1,1102.3,44.4,102.7,855.1,100.0
797,JHARKHAND,1916,0.0,14.3,0.2,17.1,22.6,283.5,224.9,303.2,231.5,253.2,13.8,0.0,1364.3,14.3,39.9,1043.1,267.0
