,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
667,ORISSA,1901,39.5,65.1,16.1,51.6,79.0,78.2,288.4,307.7,185.3,76.6,96.7,0.0,1284.2,104.6,146.7,859.6,173.3
668,ORISSA,1902,3.4,0.2,14.2,101.1,56.7,108.3,437.4,349.1,202.7,33.2,13.0,29.6,1349.0,3.5,172.1,1097.6,75.8
669,ORISSA,1903,19.7,18.9,10.5,34.6,73.3,154.3,410.4,295.2,265.6,228.5,46.2,11.0,1568.3,38.6,118.5,1125.5,285.7
670,ORISSA,1904,0.2,12.2,20.6,10.1,100.2,342.9,336.7,350.4,227.8,111.8,0.0,1.9,1514.8,12.4,130.9,1257.8,113.7
671,ORISSA,1905,24.3,17.2,66.3,56.9,107.5,92.0,330.1,281.4,344.1,36.4,0.7,0.4,1357.3,41.5,230.7,1047.6,37.5
672,ORISSA,1906,19.8,88.3,40.9,5.0,46.3,219.0,348.8,261.8,251.7,86.2,13.0,27.4,1408.2,108.1,92.2,1081.3,126.7
673,ORISSA,1907,0.1,16.9,57.4,105.1,39.8,226.3,203.9,531.8,204.8,15.9,14.0,31.2,1447.1,17.0,202.3,1166.8,61.1
674,ORISSA,1908,36.2,0.6,12.2,9.9,59.3,218.7,327.2,507.3,213.9,45.3,0.0,0.0,1430.6,36.8,81.4,1267.1,45.3
675,ORISSA,1909,5.7,11.9,4.8,148.4,53.1,288.2,452.7,234.3,234.0,42.3,1.8,58.1,1535.5,17.7,206.3,1209.2,102.2
676,ORISSA,1910,10.6,0.6,2.1,52.7,60.6,258.8,381.8,368.7,237.9,216.2,8.5,0.0,1598.5,11.2,115.5,1247.1,224.7
677,ORISSA,1911,0.0,2.7,26.2,18.6,56.6,351.6,172.2,406.2,270.0,92.3,15.0,5.9,1417.3,2.7,101.4,1200.0,113.2
678,ORISSA,1912,1.0,62.5,10.4,49.3,39.6,113.0,388.4,405.6,216.4,64.5,46.5,0.0,1397.2,63.5,99.3,1123.4,111.0
679,ORISSA,1913,1.2,56.3,9.6,12.3,87.1,230.0,448.0,356.4,166.3,149.7,25.7,1.7,1544.3,57.5,108.9,1200.7,177.1
680,ORISSA,1914,0.0,20.2,12.7,64.6,175.0,255.8,397.7,309.7,342.2,12.9,1.0,6.8,1598.5,20.2,252.3,1305.3,20.7
681,ORISSA,1915,15.4,21.4,37.3,25.2,74.5,165.1,239.4,313.0,270.8,149.2,125.6,0.0,1437.1,36.9,137.1,988.3,274.8
682,ORISSA,1916,0.0,4.9,0.8,33.8,45.5,339.6,250.7,334.7,197.6,216.1,55.8,0.0,1479.4,5.0,80.1,1122.5,271.9
683,ORISSA,1917,0.0,68.5,24.0,26.0,95.1,336.3,319.0,319.4,280.6,364.4,16.4,0.3,1850.1,68.5,145.2,1255.4,381.1
684,ORISSA,1918,10.8,0.3,19.3,28.5,127.7,363.3,216.5,324.8,190.1,7.5,5.1,3.6,1297.4,11.1,175.5,1094.7,16.1
685,ORISSA,1919,59.8,56.6,29.5,30.2,72.0,332.3,354.7,492.2,138.3,89.8,99.7,2.8,1758.1,116.4,131.7,1317.6,192.4
686,ORISSA,1920,3.3,18.2,50.7,26.9,51.2,173.2,561.4,303.9,167.2,44.9,1.6,0.0,1402.6,21.5,128.8,1205.8,46.5
687,ORISSA,1921,48.7,1.1,1.7,26.4,19.5,210.2,321.9,289.1,338.2,62.9,4.4,0.0,1324.0,49.7,47.7,1159.4,67.2
688,ORISSA,1922,20.0,0.2,1.9,13.9,46.6,247.0,431.8,295.4,328.8,50.9,30.0,0.1,1466.5,20.2,62.4,1302.9,81.0
689,ORISSA,1923,0.2,66.3,9.6,17.1,34.4,106.7,288.7,333.0,210.5,112.6,74.8,4.7,1258.6,66.4,61.1,939.0,192.1
690,ORISSA,1924,30.2,5.9,1.3,15.7,83.9,95.3,228.5,312.4,232.0,106.0,152.3,0.0,1263.4,36.1,100.8,868.1,258.3
691,ORISSA,1925,2.0,0.0,6.0,52.2,111.8,353.5,433.7,429.9,201.5,201.8,4.8,10.7,1807.8,2.0,170.0,1418.6,217.2
692,ORISSA,1926,34.8,11.3,83.2,34.1,59.2,71.7,296.5,565.3,288.9,88.1,0.0,2.6,1535.8,46.1,176.5,1222.4,90.7
693,ORISSA,1927,3.0,27.2,8.1,12.6,51.6,241.8,454.5,431.5,181.0,92.2,22.1,0.0,1525.5,30.2,72.2,1308.8,114.3
694,ORISSA,1928,4.6,4.6,6.3,62.8,68.8,266.7,468.8,266.1,226.5,208.0,1.7,0.6,1585.6,9.3,137.9,1228.2,210.3
695,ORISSA,1929,18.0,18.8,4.5,25.0,37.8,193.4,525.0,423.4,190.9,185.7,0.0,15.3,1637.8,36.8,67.2,1332.7,201.1
696,ORISSA,1930,0.2,12.1,9.9,33.4,38.0,177.5,357.5,333.7,287.5,50.5,143.1,2.7,1446.4,12.4,81.4,1156.3,196.3
697,ORISSA,1931,7.4,36.8,20.7,18.6,44.3,108.0,239.9,511.0,197.0,233.4,59.5,0.4,1477.2,44.2,83.6,1055.9,293.4
698,ORISSA,1932,0.2,34.0,9.9,26.9,67.4,116.5,474.7,271.0,246.3,57.3,136.0,0.0,1440.2,34.3,104.1,1108.6,193.3
699,ORISSA,1933,17.8,57.4,7.9,25.5,136.5,288.6,404.8,448.6,294.7,138.1,20.0,11.1,1851.0,75.2,169.9,1436.7,169.2
700,ORISSA,1934,0.1,1.4,4.2,11.0,21.0,230.6,371.8,425.4,300.1,102.6,17.4,3.3,1488.9,1.5,36.2,1327.9,123.3
701,ORISSA,1935,1.1,10.2,12.4,42.1,16.2,135.5,531.3,212.8,237.8,17.5,0.1,2.3,1219.4,11.3,70.7,1117.5,19.9
702,ORISSA,1936,16.8,42.9,11.7,7.9,155.3,477.6,360.1,384.9,247.3,154.4,11.5,5.5,1876.0,59.7,174.9,1469.9,171.4
703,ORISSA,1937,0.0,89.0,28.4,66.9,64.9,235.2,430.6,290.0,285.8,75.5,0.8,0.3,1567.3,89.0,160.2,1241.6,76.5
704,ORISSA,1938,11.0,16.8,14.0,14.5,119.6,229.6,267.2,339.8,226.4,179.0,23.7,0.0,1441.6,27.8,148.1,1063.0,202.7
705,ORISSA,1939,8.1,10.9,34.9,26.3,19.1,196.9,411.9,410.1,242.1,181.2,19.3,2.8,1563.4,18.9,80.2,1260.9,203.3
706,ORISSA,1940,0.0,35.3,70.1,29.1,133.1,286.2,532.6,395.9,133.3,58.3,3.3,10.5,1687.7,35.3,232.3,1348.0,72.1
707,ORISSA,1941,28.3,1.4,8.2,14.5,62.3,288.2,356.5,272.4,186.0,155.9,61.5,0.1,1435.2,29.7,85.0,1103.0,217.5
