,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
2047,WEST MADHYA PRADESH,1901,25.8,5.8,5.8,2.8,2.1,41.2,228.9,349.9,47.9,5.6,0.0,2.4,718.2,31.6,10.7,667.9,7.9
2048,WEST MADHYA PRADESH,1902,22.1,8.4,0.0,2.0,5.9,35.9,401.9,179.4,194.1,37.9,10.0,14.2,911.7,30.5,8.0,811.2,62.0
2049,WEST MADHYA PRADESH,1903,5.3,0.0,0.0,0.0,22.3,50.6,304.9,261.1,250.2,55.1,0.0,0.0,949.6,5.3,22.3,866.8,55.1
2050,WEST MADHYA PRADESH,1904,3.2,15.5,14.8,0.0,12.0,96.6,273.0,218.6,125.9,3.3,1.8,9.6,774.4,18.7,26.9,714.1,14.7
2051,WEST MADHYA PRADESH,1905,3.5,4.4,1.1,0.8,3.0,36.1,326.3,137.6,183.5,0.3,0.0,0.0,696.5,7.9,4.9,683.5,0.3
2052,WEST MADHYA PRADESH,1906,0.0,11.0,6.8,0.0,0.5,180.0,344.5,198.6,266.2,1.5,0.2,0.9,1010.2,11.0,7.3,989.3,2.6
2053,WEST MADHYA PRADESH,1907,5.2,25.1,0.6,12.3,2.8,48.7,202.2,328.5,17.3,0.0,7.8,0.0,650.4,30.3,15.7,596.6,7.8
2054,WEST MADHYA PRADESH,1908,12.1,0.6,10.1,1.5,1.9,104.5,368.8,281.9,48.5,0.5,0.4,1.8,832.6,12.7,13.6,803.6,2.7
2055,WEST MADHYA PRADESH,1909,3.5,2.1,0.4,24.8,9.8,150.0,246.2,257.9,106.8,0.9,0.0,27.9,830.2,5.6,35.0,760.8,28.8
2056,WEST MADHYA PRADESH,1910,1.5,0.0,0.3,0.3,0.7,171.0,183.5,273.9,244.1,50.3,33.8,0.0,959.5,1.5,1.3,872.6,84.1
2057,WEST MADHYA PRADESH,1911,16.2,0.5,3.5,0.0,0.8,112.2,111.1,154.2,222.3,11.8,43.7,0.0,676.5,16.7,4.3,599.9,55.6
2058,WEST MADHYA PRADESH,1912,2.1,8.4,0.1,0.4,2.2,48.0,322.3,264.4,94.8,2.0,60.6,1.9,807.3,10.5,2.7,729.6,64.5
2059,WEST MADHYA PRADESH,1913,0.0,7.6,3.0,0.0,28.2,168.7,290.0,220.4,58.5,0.4,0.3,13.4,790.5,7.6,31.2,737.7,14.1
2060,WEST MADHYA PRADESH,1914,0.0,2.6,7.4,4.1,13.4,127.7,352.6,155.2,154.7,6.3,10.7,1.7,836.3,2.6,24.9,790.2,18.7
2061,WEST MADHYA PRADESH,1915,9.5,24.5,34.3,5.4,6.6,124.2,179.0,215.2,90.1,75.5,3.8,4.6,772.7,34.0,46.3,608.5,83.9
2062,WEST MADHYA PRADESH,1916,0.0,8.6,0.0,0.2,17.7,220.0,242.5,474.4,153.4,76.8,25.5,0.0,1219.2,8.6,17.9,1090.4,102.3
2063,WEST MADHYA PRADESH,1917,8.3,23.1,4.5,1.9,62.7,184.3,316.6,338.0,275.4,94.4,0.0,0.1,1309.3,31.4,69.1,1114.3,94.5
2064,WEST MADHYA PRADESH,1918,0.3,1.5,2.0,0.1,10.2,100.5,124.2,202.9,50.6,0.5,14.2,2.5,509.4,1.8,12.2,478.1,17.2
2065,WEST MADHYA PRADESH,1919,43.8,1.7,0.4,4.2,10.9,163.9,330.2,545.1,69.9,39.0,22.0,1.8,1232.8,45.5,15.5,1109.1,62.7
2066,WEST MADHYA PRADESH,1920,54.1,1.0,2.1,0.2,23.4,120.1,303.3,146.4,64.2,0.0,0.0,0.0,714.8,55.1,25.7,634.0,0.0
2067,WEST MADHYA PRADESH,1921,28.6,0.3,0.0,0.0,0.0,136.8,187.3,215.3,238.9,1.3,0.0,0.0,808.7,29.0,0.0,778.3,1.3
2068,WEST MADHYA PRADESH,1922,31.5,3.5,0.0,0.0,6.7,130.7,311.7,147.7,243.4,1.7,32.7,8.5,918.2,35.0,6.8,833.5,42.9
2069,WEST MADHYA PRADESH,1923,0.9,2.7,8.4,2.6,3.5,12.1,561.6,296.2,173.6,0.7,1.2,7.6,1071.0,3.7,14.4,1043.4,9.5
2070,WEST MADHYA PRADESH,1924,11.9,3.4,0.5,0.6,2.0,34.3,346.5,335.6,208.4,68.2,0.2,19.5,1031.3,15.4,3.2,924.9,87.9
2071,WEST MADHYA PRADESH,1925,0.0,0.0,0.0,0.0,34.9,165.7,260.1,146.6,37.8,1.2,45.5,1.6,693.5,0.0,34.9,610.2,48.3
2072,WEST MADHYA PRADESH,1926,16.0,0.8,8.8,2.5,8.5,21.9,268.3,429.0,143.5,12.8,0.2,1.5,913.8,16.8,19.8,862.8,14.5
2073,WEST MADHYA PRADESH,1927,0.0,1.7,6.5,0.5,1.6,78.3,334.2,217.7,74.1,36.8,101.2,20.2,872.9,1.7,8.6,704.4,158.2
2074,WEST MADHYA PRADESH,1928,0.4,31.9,2.8,0.0,2.5,75.6,395.0,217.6,49.5,66.9,1.6,51.9,895.6,32.3,5.3,737.7,120.3
2075,WEST MADHYA PRADESH,1929,6.3,8.8,0.1,4.8,0.7,108.5,288.0,215.5,88.8,1.6,0.0,5.5,728.7,15.1,5.6,700.8,7.1
2076,WEST MADHYA PRADESH,1930,3.0,0.3,0.0,2.2,5.1,96.4,392.8,183.5,167.1,36.9,0.6,0.3,888.2,3.3,7.3,839.8,37.8
2077,WEST MADHYA PRADESH,1931,2.2,1.4,0.4,0.1,1.5,48.2,281.6,424.1,226.0,132.1,10.4,3.7,1131.6,3.5,2.0,979.9,146.2
2078,WEST MADHYA PRADESH,1932,0.0,2.9,12.7,2.6,1.8,57.0,467.0,128.3,289.8,24.8,1.4,0.0,988.3,2.9,17.1,942.1,26.2
2079,WEST MADHYA PRADESH,1933,0.2,5.0,2.1,11.7,36.7,196.5,276.9,351.8,288.1,22.7,11.4,8.5,1211.6,5.2,50.5,1113.3,42.7
2080,WEST MADHYA PRADESH,1934,7.0,0.0,6.0,0.8,0.1,124.7,237.6,415.7,340.5,2.9,24.8,4.8,1164.9,7.0,6.9,1118.5,32.6
2081,WEST MADHYA PRADESH,1935,5.3,2.9,0.0,7.8,0.7,94.3,361.2,157.5,213.6,17.8,0.6,9.5,871.1,8.2,8.4,826.6,27.9
2082,WEST MADHYA PRADESH,1936,2.6,6.0,17.5,2.5,11.2,192.2,152.8,211.6,198.4,0.6,104.1,1.6,901.2,8.7,31.2,755.0,106.3
2083,WEST MADHYA PRADESH,1937,1.0,12.1,6.1,8.1,3.6,177.6,442.0,163.9,201.9,30.0,1.0,6.2,1053.4,13.1,17.8,985.4,37.2
2084,WEST MADHYA PRADESH,1938,8.7,0.0,1.5,0.8,24.5,306.3,345.5,206.1,38.6,69.0,0.0,0.0,1001.2,8.7,26.8,896.5,69.1
2085,WEST MADHYA PRADESH,1939,6.2,0.9,8.2,0.2,0.3,64.1,284.8,312.4,119.6,3.9,1.4,0.6,802.5,7.1,8.8,780.8,5.8
2086,WEST MADHYA PRADESH,1940,10.4,4.5,6.1,1.8,10.8,157.6,393.9,347.7,63.9,40.8,23.6,3.8,1064.7,14.9,18.7,963.1,68.1
2087,WEST MADHYA PRADESH,1941,19.2,19.9,5.5,0.7,2.1,52.7,195.6,349.8,93.0,0.9,0.0,0.0,739.4,39.1,8.3,691.1,0.9
2088,WEST MADHYA PRADESH,1942,28.2,28.3,0.7,1.5,1.2,122.7,558.0,286.0,163.5,0.1,0.0,11.5,1201.7,56.5,3.5,1130.1,11.6
2089,WEST MADHYA PRADESH,1943,25.1,0.0,0.0,3.5,25.2,122.3,359.8,179.1,187.2,60.5,0.1,0.0,962.9,25.1,28.7,848.4,60.6
2090,WEST MADHYA PRADESH,1944,15.8,14.8,34.1,2.6,0.8,87.9,500.6,519.5,118.7,49.2,1.1,2.6,1347.7,30.7,37.5,1226.8,52.8
2091,WEST MADHYA PRADESH,1945,22.2,0.0,0.0,3.6,3.2,190.3,377.4,235.9,211.1,3.6,0.0,0.0,1047.4,22.2,6.9,1014.7,3.6
2092,WEST MADHYA PRADESH,1946,0.0,10.9,0.1,3.0,3.2,256.8,341.4,387.5,100.4,5.9,117.9,23.6,1250.7,10.9,6.3,1086.1,147.5
2093,WEST MADHYA PRADESH,1947,18.3,3.9,2.3,3.8,1.9,48.1,319.5,350.5,282.2,14.0,3.5,16.7,1064.7,22.3,7.9,1000.2,34.2
2094,WEST MADHYA PRADESH,1948,36.6,6.7,0.7,0.9,0.7,145.0,382.5,369.7,225.8,17.8,61.1,0.2,1247.6,43.3,2.3,1122.9,79.1
2095,WEST MADHYA PRADESH,1949,0.0,3.4,0.4,0.3,19.7,90.3,326.9,137.2,334.7,50.8,2.4,0.0,966.2,3.4,20.4,889.1,53.2
2096,WEST MADHYA PRADESH,1950,2.4,2.0,15.0,0.3,5.8,34.8,411.3,182.6,230.4,2.9,0.0,16.9,904.5,4.4,21.2,859.2,19.8
2097,WEST MADHYA PRADESH,1951,5.3,0.4,6.0,0.5,3.5,88.0,231.7,205.5,85.5,18.9,4.4,0.0,649.7,5.7,10.0,610.7,23.2
2098,WEST MADHYA PRADESH,1952,0.7,8.9,1.7,1.7,0.8,163.6,367.7,239.4,35.8,1.4,0.0,7.6,829.1,9.5,4.2,806.4,9.0
2099,WEST MADHYA PRADESH,1953,19.1,0.0,0.0,2.0,1.1,72.6,273.0,304.2,107.1,14.5,0.0,0.1,793.7,19.1,3.1,756.9,14.6
2100,WEST MADHYA PRADESH,1954,12.3,11.9,5.4,0.1,1.0,70.6,318.7,183.2,480.1,16.9,0.3,0.0,1100.7,24.2,6.6,1052.6,17.3
2101,WEST MADHYA PRADESH,1955,26.8,2.2,0.6,1.5,1.5,188.8,97.7,441.1,249.5,139.5,0.0,0.0,1149.2,29.0,3.6,977.1,139.5
2102,WEST MADHYA PRADESH,1956,10.9,0.8,3.5,0.4,49.1,112.1,411.4,235.5,127.8,95.8,12.8,5.7,1065.8,11.7,53.0,886.8,114.3
2103,WEST MADHYA PRADESH,1957,12.5,0.1,30.4,5.6,4.0,89.3,223.2,339.9,112.7,12.5,1.2,1.6,832.9,12.6,40.0,765.0,15.2
2104,WEST MADHYA PRADESH,1958,3.2,1.3,1.4,3.2,0.9,82.5,383.6,284.0,271.1,57.7,10.1,0.7,1099.7,4.5,5.6,1021.2,68.5
2105,WEST MADHYA PRADESH,1959,23.0,0.1,0.2,4.0,22.0,78.9,395.5,325.8,254.3,70.7,7.0,0.0,1181.4,23.1,26.1,1054.5,77.8
2106,WEST MADHYA PRADESH,1960,25.2,0.0,12.4,1.4,6.6,132.5,203.2,392.9,53.6,53.2,0.0,1.5,882.3,25.2,20.3,782.1,54.6
2107,WEST MADHYA PRADESH,1961,22.0,1.8,0.5,0.7,6.9,74.0,311.3,318.8,559.4,128.5,8.3,1.3,1433.7,23.9,8.2,1263.5,138.2
2108,WEST MADHYA PRADESH,1962,6.7,4.9,7.8,8.4,4.1,16.4,308.7,207.0,313.3,0.1,8.2,20.3,905.9,11.6,20.3,845.5,28.6
2109,WEST MADHYA PRADESH,1963,6.1,5.5,2.5,3.0,3.9,71.0,235.2,363.1,155.4,26.8,30.6,2.2,905.4,11.6,9.4,824.8,59.5
2110,WEST MADHYA PRADESH,1964,0.0,0.0,2.2,0.0,7.7,111.7,278.8,312.2,163.3,2.8,0.0,1.2,880.1,0.1,10.0,866.0,4.1
2111,WEST MADHYA PRADESH,1965,4.8,0.7,1.6,2.0,0.6,31.1,270.8,142.5,124.0,5.9,1.0,9.6,594.7,5.5,4.2,568.5,16.5
2112,WEST MADHYA PRADESH,1966,4.0,0.9,2.2,0.1,2.8,69.2,267.7,200.6,104.0,0.6,23.8,4.1,680.0,4.9,5.1,641.5,28.5
2113,WEST MADHYA PRADESH,1967,0.0,0.0,31.9,2.5,0.9,125.9,223.5,253.8,222.2,2.3,0.1,82.5,945.6,0.0,35.3,825.4,84.9
2114,WEST MADHYA PRADESH,1968,9.2,2.0,9.7,1.2,0.2,34.4,404.1,291.9,94.1,14.1,0.0,0.4,861.2,11.2,11.1,824.4,14.5
2115,WEST MADHYA PRADESH,1969,5.7,0.3,0.0,0.2,0.8,47.9,393.4,395.9,226.5,0.0,45.8,0.3,1117.0,6.1,1.1,1063.7,46.1
2116,WEST MADHYA PRADESH,1970,19.9,12.1,8.3,0.5,12.2,254.4,186.5,346.6,265.8,6.8,0.0,0.0,1113.2,32.0,21.0,1053.4,6.8
2117,WEST MADHYA PRADESH,1971,5.4,2.0,1.2,2.8,17.7,183.9,446.9,220.3,209.6,45.6,0.2,0.0,1135.7,7.3,21.8,1060.8,45.8
2118,WEST MADHYA PRADESH,1972,0.1,3.7,0.1,0.1,1.9,92.0,161.5,421.3,74.4,3.9,10.1,1.1,770.3,3.8,2.1,749.3,15.1
2119,WEST MADHYA PRADESH,1973,0.1,5.2,0.0,0.3,2.6,74.0,553.1,478.8,256.6,26.2,0.2,9.8,1406.9,5.3,2.9,1362.5,36.2
2120,WEST MADHYA PRADESH,1974,0.2,0.6,0.3,0.7,14.6,40.8,289.5,372.9,65.3,89.0,0.8,1.9,876.6,0.8,15.7,768.5,91.6
2121,WEST MADHYA PRADESH,1975,1.2,3.4,0.6,0.2,3.4,136.2,265.4,357.7,245.3,51.0,0.0,0.3,1064.6,4.6,4.2,1004.6,51.2
2122,WEST MADHYA PRADESH,1976,7.3,0.7,3.4,3.8,8.4,158.9,261.3,350.5,183.3,1.2,46.8,2.0,1027.7,8.0,15.6,954.0,50.1
2123,WEST MADHYA PRADESH,1977,2.5,5.3,4.9,3.0,10.3,157.3,265.3,316.1,188.8,12.5,35.2,1.6,1002.7,7.8,18.2,927.4,49.4
2124,WEST MADHYA PRADESH,1978,3.5,15.7,5.5,4.0,0.0,138.0,318.7,409.3,61.8,7.3,21.9,17.5,1003.3,19.3,9.5,927.8,46.8
2125,WEST MADHYA PRADESH,1979,21.3,35.2,8.5,0.2,9.3,110.1,195.7,260.0,34.9,6.1,97.7,2.8,781.9,56.5,18.1,600.7,106.6
2126,WEST MADHYA PRADESH,1980,0.4,0.7,0.5,0.2,0.9,254.4,186.8,345.7,50.3,3.4,1.8,28.9,873.9,1.1,1.6,837.2,34.0
2127,WEST MADHYA PRADESH,1981,4.3,0.4,10.1,0.1,10.7,118.1,268.7,297.2,122.5,20.6,19.1,18.4,890.2,4.7,20.9,806.3,58.2
2128,WEST MADHYA PRADESH,1982,44.8,4.7,3.2,2.7,8.3,61.5,247.2,386.7,89.3,23.3,60.0,2.4,934.1,49.6,14.1,784.7,85.6
2129,WEST MADHYA PRADESH,1983,4.8,0.6,0.1,13.7,13.9,88.3,238.2,364.4,291.5,55.2,0.0,1.1,1071.9,5.4,27.7,982.5,56.3
2130,WEST MADHYA PRADESH,1984,15.2,6.1,0.0,0.1,0.0,63.5,165.3,536.0,60.3,12.5,0.0,0.5,859.5,21.3,0.1,825.2,13.0
2131,WEST MADHYA PRADESH,1985,2.1,0.0,0.2,4.5,4.2,55.4,211.7,294.4,144.4,157.8,0.0,0.0,874.7,2.1,8.9,705.9,157.8
